SetInfo,songName
ENCORE,Glide
ENCORE,"Rocky Top"
"SET 1","AC/DC Bag"
"SET 1",Sparkle
"SET 1","The Landlady"
"SET 1","Destiny Unbound"
"SET 1","The Squirming Coil"
"SET 1","Split Open and Melt"
"SET 1",Fluffhead
"SET 1","Uncle Pen"
"SET 1",Tube
"SET 1","Divided Sky"
"SET 1","Sweet Adeline"
"SET 2",Tweezer
"SET 2","My Sweet One"
"SET 2","It's Ice"
"SET 2","Chalk Dust Torture"
"SET 2",Eliza
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Take the 'A' Train"
"SET 2",Tela
"SET 2",Cavern
"SET 2","Poor Heart"
"SET 2","Tweezer Reprise"
ENCORE,"Hold Your Head Up"
ENCORE,"Love You"
ENCORE,"Pusherman Jam"
ENCORE,Stash
"SET 1","Suzy Greenberg"
"SET 1","The Curtain"
"SET 1",Llama
"SET 1",Reba
"SET 1","Paul and Silas"
"SET 1",Foam
"SET 1","Bouncing Around the Room"
"SET 1","Colonel Forbin's Ascent"
"SET 1","Fly Famous Mockingbird"
"SET 1",Possum
"SET 2","Golgi Apparatus"
"SET 2","Run Like an Antelope"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Avenu Malkenu"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2",Sparkle
"SET 2","Guelah Papyrus"
"SET 2","Walk Away"
"SET 2","The Landlady"
"SET 2","Runaway Jim"
"SET 2","You Enjoy Myself"
ENCORE,Contact
ENCORE,"Big Black Furry Creature from Mars"
"SET 1",Memories
"SET 1","Chalk Dust Torture"
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Cavern
"SET 1","It's Ice"
"SET 1","You Enjoy Myself"
"SET 1","The Landlady"
"SET 1","Runaway Jim"
"SET 1","I Didn't Know"
"SET 1",Llama
"SET 2",Brother
"SET 2","Bouncing Around the Room"
"SET 2","My Sweet One"
"SET 2",Reba
"SET 2",Tube
"SET 2",Horn
"SET 2","David Bowie"
"SET 2","Take the 'A' Train"
"SET 2","Hold Your Head Up Jam"
"SET 2","Love You"
"SET 2","Hold Your Head Up"
"SET 2",Possum
ENCORE,Fee
ENCORE,"Rocky Top"
"ENCORE 2","Lawn Boy"
"ENCORE 2",Fire
"SET 1",Tube
"SET 1","The Landlady"
"SET 1","Dinner and a Movie"
"SET 1",Stash
"SET 1","Paul and Silas"
"SET 1","Divided Sky"
"SET 1","Guelah Papyrus"
"SET 1","The Mango Song"
"SET 1",Brother
"SET 1",Eliza
"SET 1","Golgi Apparatus"
"SET 2","The Sloth"
"SET 2",Sparkle
"SET 2","Split Open and Melt"
"SET 2","The Squirming Coil"
"SET 2","I Didn't Know"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Jesus Just Left Chicago"
"SET 2",Jam
"SET 2",Self
"SET 2","T.V. Show"
"SET 2","Family Picture"
"SET 2","Crimes of the Mind"
ENCORE,Fee
ENCORE,"Suzy Greenberg"
"SET 1","The Curtain"
"SET 1","Runaway Jim"
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Llama
"SET 1",Reba
"SET 1",Tube
"SET 1","You Enjoy Myself"
"SET 1",Horn
"SET 1",Brother
"SET 1","Sweet Adeline"
"SET 2","Chalk Dust Torture"
"SET 2",Fluffhead
"SET 2","Poor Heart"
"SET 2","It's Ice"
"SET 2",Tweezer
"SET 2",Tela
"SET 2","The Landlady"
"SET 2","Hold Your Head Up"
"SET 2",Terrapin
"SET 2","Hold Your Head Up"
"SET 2","My Sweet One"
"SET 2","Tweezer Reprise"
ENCORE,Glide
ENCORE,Possum
"SET 1","Golgi Apparatus"
"SET 1","Chalk Dust Torture"
"SET 1",Foam
"SET 1",Wilson
"SET 1","The Landlady"
"SET 1","Destiny Unbound"
"SET 1","Rhombus Narration"
"SET 1","Divided Sky"
"SET 1",Tube
"SET 1","I Didn't Know"
"SET 1","You Enjoy Myself"
"SET 1",Cavern
"SET 2","Buried Alive"
"SET 2","The Sloth"
"SET 2","Uncle Pen"
"SET 2","David Bowie"
"SET 2",Fee
"SET 2","The Squirming Coil"
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","Take the 'A' Train"
"SET 2","Split Open and Melt"
"SET 2","Hold Your Head Up"
"SET 2",Terrapin
"SET 2","Hold Your Head Up"
"SET 2",Memories
"SET 2",Llama
"SET 1","Buried Alive"
"SET 1","Golgi Apparatus"
"SET 1","Uncle Pen"
"SET 1",Brother
"SET 1","Bouncing Around the Room"
"SET 1",Tube
"SET 1","The Sloth"
"SET 1","Harry Hood"
"SET 1",Fee
"SET 1",Foam
"SET 1",Llama
"SET 2","Dinner and a Movie"
"SET 2",Stash
"SET 2","The Squirming Coil"
"SET 2","Paul and Silas"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Guelah Papyrus"
"SET 2","Chalk Dust Torture"
"SET 2",Magilla
"SET 2",Cavern
"SET 2","Hold Your Head Up"
"SET 2","Love You"
"SET 2","Hold Your Head Up"
"SET 2","Run Like an Antelope"
ENCORE,"Ya Mar"
ENCORE,"Big Black Furry Creature from Mars"
"ENCORE 2","Split Open and Melt"
"ENCORE 2",Memories
"SET 1","The Landlady"
"SET 1","Runaway Jim"
"SET 1","It's Ice"
"SET 1",Sparkle
"SET 1","Chalk Dust Torture"
"SET 1",Esther
"SET 1",Cavern
"SET 1","Rhombus Narration"
"SET 1","Divided Sky"
"SET 1","I Didn't Know"
"SET 1","You Enjoy Myself"
"SET 2","David Bowie"
"SET 2","Colonel Forbin's Ascent"
"SET 2","Fly Famous Mockingbird"
"SET 2","Golgi Apparatus"
"SET 2","Bathtub Gin"
"SET 2","The Squirming Coil"
"SET 2",Llama
"SET 2","Hold Your Head Up"
"SET 2",Terrapin
"SET 2","Hold Your Head Up"
"SET 2",Possum
ENCORE,Horn
ENCORE,"My Sweet One"
ENCORE,"Sweet Adeline"
"SET 1",Wilson
"SET 1","Uncle Pen"
"SET 1",Llama
"SET 1",Reba
"SET 1",Foam
"SET 1",Tube
"SET 1",Sparkle
"SET 1",Brother
"SET 1","The Mango Song"
"SET 1","Golgi Apparatus"
"SET 1","Runaway Jim"
"SET 2","Dinner and a Movie"
"SET 2","Roll Like a Cantaloupe"
"SET 2",Fee
"SET 2","Paul and Silas"
"SET 2","It's Ice"
"SET 2",Glide
"SET 2",Tweezer
"SET 2","Take the 'A' Train"
"SET 2","Hold Your Head Up"
"SET 2","If I Only Had a Brain"
"SET 2","Hold Your Head Up"
"SET 2","The Lizards"
"SET 2","Tweezer Reprise"
ENCORE,"Bouncing Around the Room"
ENCORE,"Good Times Bad Times"
"ENCORE 2","You Enjoy Myself"
"SET 1","Chalk Dust Torture"
"SET 1",Sparkle
"SET 1",Cavern
"SET 1","The Curtain"
"SET 1","Split Open and Melt"
"SET 1","The Squirming Coil"
"SET 1","My Sweet One"
"SET 1","Guelah Papyrus"
"SET 1","Rhombus Narration"
"SET 1","Divided Sky"
"SET 1","Lawn Boy"
"SET 1","Golgi Apparatus"
"SET 2",Llama
"SET 2","Bathtub Gin"
"SET 2","Poor Heart"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2",Eliza
"SET 2",Tube
"SET 2","The Landlady"
"SET 2","Destiny Unbound"
"SET 2","Harry Hood"
"SET 2","Hold Your Head Up"
"SET 2","Love You"
"SET 2","Hold Your Head Up"
"SET 2","Bouncing Around the Room"
"SET 2",Possum
ENCORE,"Highway to Hell"
ENCORE,"Suzy Greenberg"
"SET 1","The Landlady"
"SET 1","Uncle Pen"
"SET 1",Wilson
"SET 1","Runaway Jim"
"SET 1","It's Ice"
"SET 1",Sparkle
"SET 1",Fluffhead
"SET 1",Foam
"SET 1",Stash
"SET 1","Ya Mar"
"SET 1",Cavern
"SET 2",Tube
"SET 2","My Sweet One"
"SET 2","Bathtub Gin"
"SET 2",Brother
"SET 2","You Enjoy Myself"
"SET 2",Horn
"SET 2","Chalk Dust Torture"
"SET 2","Hold Your Head Up"
"SET 2",Terrapin
"SET 2","Hold Your Head Up"
"SET 2",Llama
ENCORE,Glide
ENCORE,"Rocky Top"
"SET 1","Uncle Pen"
"SET 1",Foam
"SET 1","Runaway Jim"
"SET 1",Fee
"SET 1",Sparkle
"SET 1",Brother
"SET 1",Horn
"SET 1","Chalk Dust Torture"
"SET 1","Hold Your Head Up"
"SET 1","Love You"
"SET 1","Hold Your Head Up"
"SET 1",Wilson
"SET 1","Divided Sky"
"SET 2",Tube
"SET 2","My Sweet One"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","The Mango Song"
"SET 2","The Sloth"
"SET 2",Reba
"SET 2","Dinner and a Movie"
"SET 2",Cavern
"SET 2","David Bowie"
ENCORE,Glide
ENCORE,"Rocky Top"
"SET 1","Buried Alive"
"SET 1",Possum
"SET 1","Colonel Forbin's Ascent"
"SET 1","Fly Famous Mockingbird"
"SET 1",Sparkle
"SET 1",Stash
"SET 1","Paul and Silas"
"SET 1","Bathtub Gin"
"SET 1","The Squirming Coil"
"SET 1",Llama
"SET 1","You Enjoy Myself"
"SET 2","Golgi Apparatus"
"SET 2","It's Ice"
"SET 2","My Sweet One"
"SET 2","Run Like an Antelope"
"SET 2",Tela
"SET 2","The Landlady"
"SET 2","Hold Your Head Up"
"SET 2",Bike
"SET 2","Hold Your Head Up"
"SET 2",Cavern
ENCORE,Magilla
ENCORE,Brother
"SET 1","Chalk Dust Torture"
"SET 1","Bouncing Around the Room"
"SET 1","Poor Heart"
"SET 1","Guelah Papyrus"
"SET 1",Reba
"SET 1",Foam
"SET 1",Horn
"SET 1","Split Open and Melt"
"SET 1",Esther
"SET 1","Mike's Song"
"SET 1","I Am Hydrogen"
"SET 1","Weekapaug Groove"
"SET 2",Wilson
"SET 2","Harry Hood"
"SET 2","It's Ice"
"SET 2","The Mango Song"
"SET 2","Uncle Pen"
"SET 2",Tweezer
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Avenu Malkenu"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Runaway Jim"
ENCORE,Memories
ENCORE,"Sweet Adeline"
ENCORE,"Golgi Apparatus"
"SET 1",Possum
"SET 1",Cavern
"SET 1",Sparkle
"SET 1",Brother
"SET 1",Fee
"SET 1",Foam
"SET 1","Divided Sky"
"SET 1","Lawn Boy"
"SET 1","Dinner and a Movie"
"SET 1",Stash
"SET 1","Rocky Top"
"SET 2",Tube
"SET 2","My Sweet One"
"SET 2","The Landlady"
"SET 2","Bathtub Gin"
"SET 2","Run Like an Antelope"
"SET 2","The Squirming Coil"
"SET 2","I Didn't Know"
"SET 2",Llama
"SET 2","The Lizards"
"SET 2","You Enjoy Myself"
ENCORE,Glide
ENCORE,"Suzy Greenberg"
"SET 1",Llama
"SET 1",Reba
"SET 1",Foam
"SET 1","Runaway Jim"
"SET 1","Guelah Papyrus"
"SET 1",Sparkle
"SET 1","Chalk Dust Torture"
"SET 1","Uncle Pen"
"SET 1",Brother
"SET 1","Bouncing Around the Room"
"SET 1","Golgi Apparatus"
"SET 2","The Curtain"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2",Horn
"SET 2","Poor Heart"
"SET 2",Tweezer
"SET 2",Eliza
"SET 2","The Landlady"
"SET 2",Fee
"SET 2","Hold Your Head Up"
"SET 2","Love You"
"SET 2","Hold Your Head Up"
"SET 2","My Sweet One"
"SET 2","Tweezer Reprise"
ENCORE,"Jesus Just Left Chicago"
ENCORE,"Big Black Furry Creature from Mars"
"SET 1","The Sloth"
"SET 1","Paul and Silas"
"SET 1",Stash
"SET 1","The Squirming Coil"
"SET 1","The Landlady"
"SET 1",Fluffhead
"SET 1",Sparkle
"SET 1","It's Ice"
"SET 1","I Didn't Know"
"SET 1","David Bowie"
"SET 2",Tube
"SET 2","Divided Sky"
"SET 2",Cavern
"SET 2","The Mango Song"
"SET 2","Chalk Dust Torture"
"SET 2","Take the 'A' Train"
"SET 2","You Enjoy Myself"
"SET 2","Golgi Apparatus"
ENCORE,"Sweet Adeline"
ENCORE,"Rocky Top"
"SET 1",Glide
"SET 1",Llama
"SET 1",Foam
"SET 1",Sparkle
"SET 1","Divided Sky"
"SET 1",Cavern
"SET 1","The Squirming Coil"
"SET 1",Brother
"SET 1","Paul and Silas"
"SET 1","Guelah Papyrus"
"SET 1","You Enjoy Myself"
"SET 2","Chalk Dust Torture"
"SET 2","Uncle Pen"
"SET 2","Harry Hood"
"SET 2","It's Ice"
"SET 2","Bouncing Around the Room"
"SET 2","My Sweet One"
"SET 2",Horn
"SET 2","I Didn't Know"
"SET 2","Run Like an Antelope"
"SET 2","Golgi Apparatus"
ENCORE,Contact
ENCORE,"Rocky Top"
"SET 1",Llama
"SET 1",Reba
"SET 1","The Landlady"
"SET 1","Runaway Jim"
"SET 1",Cavern
"SET 1","Poor Heart"
"SET 1",Brother
"SET 1","The Squirming Coil"
"SET 1","Dinner and a Movie"
"SET 1","Bouncing Around the Room"
"SET 1","David Bowie"
"SET 2","My Sweet One"
"SET 2",Stash
"SET 2","The Mango Song"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2",Sparkle
"SET 2","The Lizards"
"SET 2","Chalk Dust Torture"
"SET 2","Hold Your Head Up"
"SET 2","Love You"
"SET 2","Hold Your Head Up"
"SET 2","Golgi Apparatus"
ENCORE,"Sweet Adeline"
ENCORE,"Suzy Greenberg"
"SET 1","Golgi Apparatus"
"SET 1","Paul and Silas"
"SET 1","Split Open and Melt"
"SET 1","Ya Mar"
"SET 1",Fluffhead
"SET 1",Llama
"SET 1","Bathtub Gin"
"SET 1","It's Ice"
"SET 1","Bouncing Around the Room"
"SET 1",Possum
"SET 2",Tweezer
"SET 2",Sparkle
"SET 2",Tube
"SET 2",Foam
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2",Fee
"SET 2","The Sloth"
"SET 2","The Squirming Coil"
"SET 2","I Didn't Know"
"SET 2","My Sweet One"
"SET 2","Tweezer Reprise"
ENCORE,Glide
ENCORE,Cavern
"SET 1",Memories
"SET 1",Foam
"SET 1",Reba
"SET 1","Uncle Pen"
"SET 1","The Squirming Coil"
"SET 1",Magilla
"SET 1","The Landlady"
"SET 1","Guelah Papyrus"
"SET 1","I Didn't Know"
"SET 2","It's Ice"
"SET 2",Eliza
"SET 2",Sparkle
"SET 2","You Enjoy Myself"
"SET 2",Horn
"SET 2","Divided Sky"
"SET 2",Tela
"SET 2",Llama
"SET 2","Hold Your Head Up"
"SET 2","Whipping Post"
"SET 2","Hold Your Head Up"
"SET 2",Possum
"SET 2",Wait
"SET 2",Possum
ENCORE,Wait
ENCORE,"Lawn Boy"
ENCORE,"Rocky Top"
"SET 1",Wilson
"SET 1","Runaway Jim"
"SET 1",Foam
"SET 1","Colonel Forbin's Ascent"
"SET 1","Fly Famous Mockingbird"
"SET 1","My Sweet One"
"SET 1",Stash
"SET 1","The Curtain"
"SET 1",Cavern
"SET 1","The Mango Song"
"SET 1","Run Like an Antelope"
"SET 2","Buried Alive"
"SET 2",Reba
"SET 2","Chalk Dust Torture"
"SET 2",Sparkle
"SET 2",Brother
"SET 2","The Lizards"
"SET 2","Hold Your Head Up"
"SET 2",Terrapin
"SET 2","Hold Your Head Up"
"SET 2",Harpua
ENCORE,"Sweet Adeline"
ENCORE,"Golgi Apparatus"
"SET 1",Possum
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Stash
"SET 1","The Lizards"
"SET 1","Guelah Papyrus"
"SET 1","Divided Sky"
"SET 1",Esther
"SET 1",Llama
"SET 1","Golgi Apparatus"
"SET 2",Brother
"SET 2","Bouncing Around the Room"
"SET 2","Buried Alive"
"SET 2","Auld Lang Syne"
"SET 2","Runaway Jim"
"SET 2","The Landlady"
"SET 2",Reba
"SET 2",Cavern
"SET 2","My Sweet One"
"SET 2","Run Like an Antelope"
"SET 3",Wilson
"SET 3","The Squirming Coil"
"SET 3",Tweezer
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3","Mike's Song"
"SET 3","I Am Hydrogen"
"SET 3","Weekapaug Groove"
ENCORE,"Lawn Boy"
ENCORE,"Rocky Top"
ENCORE,"Tweezer Reprise"
"SET 1",Maze
"SET 1",Weigh
"SET 1","My Friend, My Friend"
"SET 1","My Mind's Got a Mind of its Own"
"SET 1",Rift
"SET 1","Sleeping Monkey"
"SET 1",Mound
"SET 1","Cracklin' Rosie"
"SET 1","Cold as Ice"
"SET 1","The Horse"
"SET 1","Silent in the Morning"
"SET 1",NICU
"SET 1",Rift
"SET 1",Cavern
"SET 1",Sparkle
"SET 1","It's Ice"
"SET 1","The Oh Kee Pa Ceremony"
"SET 1","Divided Sky"
"SET 1","Guelah Papyrus"
"SET 1",Maze
"SET 1",Reba
"SET 1","All Things Reconsidered"
"SET 1","David Bowie"
"SET 2","My Friend, My Friend"
"SET 2","Poor Heart"
"SET 2","Secret Language Instructions"
"SET 2",Stash
"SET 2",Mound
"SET 2",Llama
"SET 2","Bouncing Around the Room"
"SET 2",NICU
"SET 2",Possum
ENCORE,"Sleeping Monkey"
"SET 1",Brother
"SET 1","My Mind's Got a Mind of its Own"
"SET 1",Foam
"SET 1","Runaway Jim"
"SET 1","The Horse"
"SET 1","Silent in the Morning"
"SET 1",Maze
"SET 1","The Mango Song"
"SET 1","The Landlady"
"SET 1",Rift
"SET 1","Run Like an Antelope"
"SET 2","My Sweet One"
"SET 2",Tweezer
"SET 2","The Squirming Coil"
"SET 2",Weigh
"SET 2","Chalk Dust Torture"
"SET 2",Horn
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2","Tweezer Reprise"
ENCORE,"Sweet Adeline"
ENCORE,"Golgi Apparatus"
"SET 1","Suzy Greenberg"
"SET 1","My Friend, My Friend"
"SET 1","Paul and Silas"
"SET 1",Reba
"SET 1",Maze
"SET 1",Fee
"SET 1","Split Open and Melt"
"SET 1",Mound
"SET 1","Divided Sky"
"SET 1",Cavern
"SET 2",Llama
"SET 2",NICU
"SET 2","The Sloth"
"SET 2","The Lizards"
"SET 2","Bathtub Gin"
"SET 2","My Mind's Got a Mind of its Own"
"SET 2",Brother
"SET 2","Cold as Ice"
"SET 2","Baby Lemonade"
"SET 2","Cold as Ice"
"SET 2","All Things Reconsidered"
"SET 2","Harry Hood"
"SET 2","Rocky Top"
ENCORE,Sanity
ENCORE,Memories
ENCORE,Carolina
ENCORE,"Sleeping Monkey"
"SET 1","Runaway Jim"
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Stash
"SET 1","I Didn't Know"
"SET 1",Reba
"SET 1","Buried Alive"
"SET 1",Rift
"SET 1",Magilla
"SET 1",Llama
"SET 1","You Enjoy Myself"
"SET 2","Golgi Apparatus"
"SET 2",Tweezer
"SET 2",Eliza
"SET 2","It's Ice"
"SET 2","Bouncing Around the Room"
"SET 2","The Squirming Coil"
"SET 2","Uncle Pen"
"SET 2","David Bowie"
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2","My Sweet One"
"SET 2",Cavern
ENCORE,"Sweet Adeline"
ENCORE,Weigh
ENCORE,"Tweezer Reprise"
"SET 1","The Curtain"
"SET 1","Split Open and Melt"
"SET 1","Poor Heart"
"SET 1","Guelah Papyrus"
"SET 1",Maze
"SET 1","Dinner and a Movie"
"SET 1","Divided Sky"
"SET 1",Mound
"SET 1",Fluffhead
"SET 1","Run Like an Antelope"
"SET 1","Big Black Furry Creature from Mars"
"SET 1","Run Like an Antelope"
"SET 2",Wilson
"SET 2",Brother
"SET 2","The Horse"
"SET 2","Silent in the Morning"
"SET 2","The Landlady"
"SET 2","The Lizards"
"SET 2","My Mind's Got a Mind of its Own"
"SET 2","The Sloth"
"SET 2",Rift
"SET 2","Cold as Ice"
"SET 2","Love You"
"SET 2","Cold as Ice"
"SET 2",Possum
"SET 2","Secret Language Instructions"
"SET 2",Possum
ENCORE,Contact
ENCORE,Fire
"SET 1","Runaway Jim"
"SET 1",Cavern
"SET 1",Reba
"SET 1",Sparkle
"SET 1",Foam
"SET 1",Rift
"SET 1",Stash
"SET 1",Fee
"SET 1","Chalk Dust Torture"
"SET 1","Take the 'A' Train"
"SET 1","Mike's Song"
"SET 1","I Am Hydrogen"
"SET 1","Weekapaug Groove"
"SET 2","Golgi Apparatus"
"SET 2",Llama
"SET 2","The Squirming Coil"
"SET 2","Split Open and Melt"
"SET 2","Bouncing Around the Room"
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","Harry Hood"
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2",Possum
ENCORE,"Sleeping Monkey"
ENCORE,"Good Times Bad Times"
"SET 1","Buried Alive"
"SET 1",Possum
"SET 1",Cavern
"SET 1",Sparkle
"SET 1","It's Ice"
"SET 1","I Didn't Know"
"SET 1","Divided Sky"
"SET 1","Guelah Papyrus"
"SET 1",Rift
"SET 1","Bouncing Around the Room"
"SET 1","Run Like an Antelope"
"SET 2","Runaway Jim"
"SET 2",Glide
"SET 2","The Sloth"
"SET 2","Poor Heart"
"SET 2",Tweezer
"SET 2",Esther
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Cold as Ice"
"SET 2","Love You"
"SET 2","Cold as Ice"
"SET 2",Llama
ENCORE,Memories
ENCORE,"Sweet Adeline"
"SET 1","The Landlady"
"SET 1",Rift
"SET 1","Split Open and Melt"
"SET 1",Sparkle
"SET 1","Golgi Apparatus"
"SET 1","The Horse"
"SET 1","Silent in the Morning"
"SET 1","Dinner and a Movie"
"SET 1","Colonel Forbin's Ascent"
"SET 1","Fly Famous Mockingbird"
"SET 1","All Things Reconsidered"
"SET 1","David Bowie"
"SET 2",Glide
"SET 2","Chalk Dust Torture"
"SET 2",NICU
"SET 2","My Sweet One"
"SET 2",Stash
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","My Friend, My Friend"
"SET 2","The Squirming Coil"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2","You Enjoy Myself"
ENCORE,"Sleeping Monkey"
ENCORE,"Rocky Top"
"ENCORE 2","Sweet Adeline"
"SET 1",Wilson
"SET 1",Reba
"SET 1",Brother
"SET 1",Glide
"SET 1",Rift
"SET 1",Fluffhead
"SET 1",Maze
"SET 1","The Lizards"
"SET 1",Mound
"SET 1","Run Like an Antelope"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2",Sanity
"SET 2","The Sloth"
"SET 2","The Mango Song"
"SET 2",Cavern
"SET 2","Uncle Pen"
"SET 2","Harry Hood"
"SET 2","Cold as Ice"
"SET 2",Terrapin
"SET 2","Cold as Ice"
"SET 2",Possum
"SET 2","Secret Language Instructions"
"SET 2",Possum
ENCORE,"Lawn Boy"
ENCORE,Fire
"SET 1","The Landlady"
"SET 1","Runaway Jim"
"SET 1",Foam
"SET 1",Sparkle
"SET 1","Split Open and Melt"
"SET 1","The Horse"
"SET 1","Silent in the Morning"
"SET 1","Dinner and a Movie"
"SET 1","The Squirming Coil"
"SET 1","My Sweet One"
"SET 1",Stash
"SET 1","Golgi Apparatus"
"SET 2","Buried Alive"
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","Take the 'A' Train"
"SET 2","My Friend, My Friend"
"SET 2","Poor Heart"
"SET 2","All Things Reconsidered"
"SET 2","David Bowie"
"SET 2",Weigh
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2","You Enjoy Myself"
ENCORE,"Bouncing Around the Room"
ENCORE,"Rocky Top"
"SET 1",Sparkle
"SET 1","All Things Reconsidered"
"SET 1",Foam
"SET 1","The Landlady"
"SET 1",Stash
"SET 1","Poor Heart"
"SET 1",Foam
"SET 1",Eliza
"SET 1",Rift
"SET 1","Golgi Apparatus"
"SET 1","The Horse"
"SET 1","Silent in the Morning"
"SET 1",Llama
"SET 1","Colonel Forbin's Ascent"
"SET 1","Fly Famous Mockingbird"
"SET 1","The Landlady"
"SET 1","David Bowie"
"SET 2","The Curtain"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","Guelah Papyrus"
"SET 2","The Mango Song"
"SET 2",Brother
"SET 2","Uncle Pen"
"SET 2","I Didn't Know"
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","Harry Hood"
"SET 2",Cavern
ENCORE,"Lawn Boy"
ENCORE,Fire
"SET 1",Wilson
"SET 1",Sparkle
"SET 1","Split Open and Melt"
"SET 1",Rift
"SET 1",Fee
"SET 1",Maze
"SET 1",Glide
"SET 1","Runaway Jim"
"SET 1","It's Ice"
"SET 1","Run Like an Antelope"
"SET 2",Tweezer
"SET 2",Mound
"SET 2",Reba
"SET 2","All Things Reconsidered"
"SET 2","The Squirming Coil"
"SET 2","You Enjoy Myself"
"SET 2","Setting Sail"
"SET 2",Horn
"SET 2","My Sweet One"
"SET 2","Chalk Dust Torture"
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2","Golgi Apparatus"
ENCORE,"Sleeping Monkey"
ENCORE,"Tweezer Reprise"
"SET 1","The Landlady"
"SET 1","Runaway Jim"
"SET 1","All Things Reconsidered"
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Stash
"SET 1",Fluffhead
"SET 1","Uncle Pen"
"SET 1",NICU
"SET 1","David Bowie"
"SET 2","Buried Alive"
"SET 2","The Oh Kee Pa Ceremony"
"SET 2","Suzy Greenberg"
"SET 2","Poor Heart"
"SET 2",Brother
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Avenu Malkenu"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","My Friend, My Friend"
"SET 2","The Lizards"
"SET 2",Cavern
"SET 2","Cold as Ice"
"SET 2","Cracklin' Rosie"
"SET 2","Cold as Ice"
"SET 2",Possum
ENCORE,"Sleeping Monkey"
ENCORE,"Chalk Dust Torture"
"ENCORE 2",Harpua
"SET 1",Llama
"SET 1",Reba
"SET 1","Paul and Silas"
"SET 1","The Sloth"
"SET 1","Divided Sky"
"SET 1","Guelah Papyrus"
"SET 1",Maze
"SET 1",Glide
"SET 1","Bouncing Around the Room"
"SET 1","Run Like an Antelope"
"SET 2","Mike's Song"
"SET 2","I Am Hydrogen"
"SET 2","Weekapaug Groove"
"SET 2","The Horse"
"SET 2","Silent in the Morning"
"SET 2","My Sweet One"
"SET 2",Rift
"SET 2","Bathtub Gin"
"SET 2","Dinner and a Movie"
"SET 2",Magilla
"SET 2","Harry Hood"
"SET 2","Cold as Ice"
"SET 2","Love You"
"SET 2","Cold as Ice"
"SET 2","Golgi Apparatus"
ENCORE,Memories
ENCORE,"Sweet Adeline"
"SET 1","Runaway Jim"
"SET 1",Foam
"SET 1",Sparkle
"SET 1",Stash
"SET 1",Rift
"SET 1","Bouncing Around the Room"
"SET 1","The Landlady"
"SET 1","David Bowie"
"SET 1","Lullaby of Birdland"
"SET 1","David Bowie"
"SET 1","Secret Language Instructions"
"SET 1","David Bowie"
"SET 1",Glide
